Lines: 001339
User Defined	Macro	RRECT	
Switches	Multiplexers	ADG408	ADG508FB	x AD 8-CH analog Multiplexer pkg:DIP16 4,5,6,7,12,11,10,9,16,16,1,2,8,14,15,3
Switches	Multiplexers	ADG408	ADG508FT	x AD 8-CH analog Multiplexer pkg:DIP16 4,5,6,7,12,11,10,9,16,16,1,2,8,14,15,3
Switches	Multiplexers	ADG408	ADG528F	x AD 8-CH analog Multiplexer pkg:DIP16 4,5,6,7,12,11,10,9,16,16,1,2,8,14,15,3
Switches	Multiplexers	ADG408	ADG528FB	x AD 8-CH analog Multiplexer pkg:DIP16 4,5,6,7,12,11,10,9,16,16,1,2,8,14,15,3
Switches	Multiplexers	ADG408	ADG528FT	x AD 8-CH analog Multiplexer pkg:DIP16 4,5,6,7,12,11,10,9,16,16,1,2,8,14,15,3
Switches	Multiplexers	ADG407	ADG407	x AD Dual 8-CH Analog Multiplexer pkg:DIP28 19,20,21,22,23,24,25,26,11,10,9,8,7,5,5,4,15,16,17,18,28,2,1,12,27
Switches	Multiplexers	ADG407	ADG407B	x AD Dual 8-CH Analog Multiplexer pkg:DIP28 19,20,21,22,23,24,25,26,11,10,9,8,7,5,5,4,15,16,17,18,28,2,1,12,27
Switches	Multiplexers	ADG406	ADG406	x AD 16-channel High Performance Analog Multiplexer pkg:DIP28 19,20,21,22,23,24,25,26,11,10,9,8,7,6,5,4,14,15,16,17,18,28,1,12,27
Switches	Multiplexers	ADG406	ADG406B	x AD 16-channel High Performance Analog Multiplexer pkg:DIP28 19,20,21,22,23,24,25,26,11,10,9,8,7,6,5,4,14,15,16,17,18,28,1,12,27
Switches	Soild State	ADG44x	ADG441	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG441B	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG441BS	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG441S	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG441T	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG441TS	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG442	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG442B	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG442BS	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG442S	x AD Quad SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG511_3	x AD Quad SPST Switches for +3V single supply pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG511_5	x AD Quad SPST Switches for +5V single supply pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG44x	ADG511±5	x AD Quad SPST Switches for +/-5V supplies pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
Switches	Soild State	ADG41x	ADG411	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG411B	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG411T	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG412	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG412B	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG412T	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
